바코드,제조사/유통사,제품명,판매가,사업자등록번호,적립 포인트,인증구분,적립율,시작일,마감일
8809350380006,(사)에코언니야,EM 세탁비누 300g,1300,408-82-14913,320,환경표지,0.25,2024-06-01,2026-11-25
8809592890035,(사)한국시각장애인연합회인쇄사업단,친환경 크림이 복사용지 A4 (75g),19000,128-82-11612,4750,환경표지,0.25,2024-06-01,2025-09-04
8809592890028,(사)한국시각장애인연합회인쇄사업단,친환경 크림이 복사용지 A4 (80g),19700,,4920,환경표지,0.25,2024-06-01,2025-09-04
8809355380148,(사)한국지체장애인협회(춘천시장애인근로사업장),Ban-B 70미터,8000,,2000,환경표지,0.25,2024-06-01,2024-06-29
8809355380070,(사)한국지체장애인협회(춘천시장애인근로사업장),Ban-B 신문용지 54g A4,11000,,2750,환경표지,0.25,2024-06-01,2027-04-12
8809355380117,(사)한국지체장애인협회(춘천시장애인근로사업장),Ban-B 중질지 70g A4,15900,,3970,환경표지,0.25,2024-06-01,2026-12-14
8809355380087,(사)한국지체장애인협회(춘천시장애인근로사업장),Ban-B 신문용지 54g B4,16900,,4220,환경표지,0.25,2024-06-01,2027-04-12
8809355380124,(사)한국지체장애인협회(춘천시장애인근로사업장),Ban-B 중질지 70g B4,23000,,5750,환경표지,0.25,2024-06-01,2026-12-14
8809355380131,(사)한국지체장애인협회(춘천시장애인근로사업장),Ban-B 50m,23400,,5850,환경표지,0.25,2024-06-01,2027-04-12
8809355380391,(사)한국지체장애인협회(춘천시장애인근로사업장),"Ban-B 종이타올 고급형 (100매, 2겹)",29000,,7250,환경표지,0.25,2024-06-01,2024-10-13
8809355380155,(사)한국지체장애인협회(춘천시장애인근로사업장),Ban-B 점보롤 300미터,32800,,8200,환경표지,0.25,2024-06-01,2024-06-29
8809355380186,(사)한국지체장애인협회(춘천시장애인근로사업장),"Ban-B 종이타올 (100매, 2겹)",35000,221-82-09846,8750,환경표지,0.25,2024-06-01,2024-10-13
8809610800053,(사)한마음장애인복지회(한마음사업단),HM-HT02,29000,312-82-17453,7250,환경표지,0.25,2024-06-01,2024-08-01
8809610800039,(사)한마음장애인복지회(한마음사업단),한마음 점보롤 1겹 500m,37500,,9370,환경표지,0.25,2024-06-01,2025-07-03
8809036848523,(유)강청,안심해 무첨가 손세정제(500ml),11000,,2750,환경표지,0.25,2024-06-01,2024-08-26
8809030684832,(유)강청,순하게 무첨가 세안용 물비누(150ml),13000,,3250,환경표지,0.25,2024-06-01,2024-08-26
8809036849254,(유)강청,순하게 무첨가 세안용 물비누(300ml),25000,,6250,환경표지,0.25,2024-06-01,2024-08-26
8809036849896,(유)강청,안심해 무첨가 손세정제 (4.2L),45000,,11250,환경표지,0.25,2024-06-01,2024-08-26
8809010968247,(주)개미식품,오늘좋은X삼육두유 크리스피롤 미니 (130G),2490,129-81-17908,120,환경성적,0.05,2024-06-01,2026-11-28
8809010968278,(주)개미식품,오늘좋은 국내산 19곡 크리스피롤 미니 (130G),2490,129-81-17908,120,환경성적,0.05,2024-06-01,2026-11-28
8804164000515,(주)노루페인트,노루페인트 바니쉬 무광 1L,12800,123-86-06034,1920,환경표지,0.15,2024-06-01,2024-08-17
8804164000522,(주)노루페인트,노루페인트 바니쉬 유광 1L,12900,123-86-06034,1930,환경표지,0.15,2024-06-01,2024-08-17
8804164110207,(주)노루페인트,멀티플러스,13300,123-86-06034,1990,환경표지,0.15,2024-06-01,2024-08-17
8804164115820,(주)노루페인트,순앤수 원터치페인트 퓨어화이트 1L,14500,123-86-06034,2170,환경표지,0.15,2024-06-01,2024-07-19
8804164000508,(주)노루페인트,노루페인트 젯소 1L,14500,123-86-06034,2170,환경표지,0.15,2024-06-01,2024-08-17
8804164113734,(주)노루페인트,순＆수 멀티 베란다용 페인트2L,15200,123-86-06034,2280,환경표지,0.15,2024-06-01,2025-03-01
8804164113703,(주)노루페인트,순＆수 벽지용 페인트2L,18570,123-86-06034,2780,환경표지,0.15,2024-06-01,2025-03-01
8809240274330,(주)대왕,럭플러스35m*24롤,20700,,5170,환경표지,0.25,2024-06-01,2024-12-09
8809240274323,(주)대왕,럭플러스50m*24롤,21900,,5470,환경표지,0.25,2024-06-01,2024-12-09
8802854900589,(주)대한식품,오늘좋은 두번구워 더 구수한 누룽지 [500g],2990,412-81-28651,140,환경성적,0.05,2024-06-01,2026-10-30
8809025730631,(주)동일프라텍,디앙 커피용 일회용 스트로우(중),10000,141-81-26595,1500,환경표지,0.15,2024-06-01,2024-07-15
8809371990048,(주)디오티큐,"냄새입자잡는 왕코(200g, 냉장고용)",4700,,1170,환경표지,0.25,2024-06-01,2024-11-06
8809294855608,(주)래딕스글로비즈,뿌리또 친환경 이중 지퍼백 15매 18*20CM,1590,104-81-41772,230,환경표지,0.15,2024-06-01,2024-07-15
8809294855615,(주)래딕스글로비즈,뿌리또 친환경 이중 지퍼백 15매 25*30CM,2290,104-81-41772,340,환경표지,0.15,2024-06-01,2024-07-15
8809778050000,(주)로엔그린,친환경종이컵 195ml * 50p,1100,101-86-45056,160,환경표지,0.15,2024-06-01,2024-08-09
8809778050017,(주)로엔그린,친환경테이크아웃 종이컵410ml*20p,1980,101-86-45056,290,환경표지,0.15,2024-06-01,2024-08-09
8809494650034,(주)리페이퍼,rePAPER CUP-10 (친환경종이컵 10온스),2000,201-86-40652,300,환경표지,0.15,2024-06-01,2024-12-31
8809494650041,(주)리페이퍼,rePAPER CUP-13 (친환경종이컵 13온스),3000,,450,환경표지,0.15,2024-06-01,2024-12-31
8809494650027,(주)리페이퍼,rePAPER P-180 (친환경종이접시),24000,,3600,환경표지,0.15,2024-06-01,2024-12-31
8809494650010,(주)리페이퍼,ELEFUN GREEN-6.5(친환경종이컵-6.5oz),24900,,3730,환경표지,0.15,2024-06-01,2024-12-31
8809494650058,(주)리페이퍼,ELEFUN GREEN-8 (친환경종이컵 8oz),30000,,4500,환경표지,0.15,2024-06-01,2024-12-31
8809349870983,(주)메리스랩,콘타모 지사동 갈라파고스땅거북 라지,8900,,2220,환경표지,0.25,2024-06-01,2027-01-21
8809349870990,(주)메리스랩,콘타모 지사동 로랜드고릴라 라지,8900,,2220,환경표지,0.25,2024-06-01,2027-01-21
8809349871010,(주)메리스랩,콘타모 지사동 황제펭귄 라지,8900,,2220,환경표지,0.25,2024-06-01,2027-01-21
8809349871027,(주)메리스랩,콘타모 지사동 코알라 라지,8900,,2220,환경표지,0.25,2024-06-01,2027-01-21
8809349870907,(주)메리스랩,콘타모 스핏파이어 라지,8900,,2220,환경표지,0.25,2024-06-01,2027-01-21
8809349870884,(주)메리스랩,콘타모 F-15 라지,8900,,2220,환경표지,0.25,2024-06-01,2027-01-21
